# TYPE palworld_server_fps gauge
palworld_server_fps{instance="palworld-2"} 59 1783908000
palworld_server_fps{instance="palworld-2"} 59 1783908060
palworld_server_fps{instance="palworld-2"} 59 1783908120
palworld_server_fps{instance="palworld-2"} 59 1783908180
palworld_server_fps{instance="palworld-2"} 59 1783908240
palworld_server_fps{instance="palworld-2"} 59 1783908300
palworld_server_fps{instance="palworld-2"} 59 1783908360
palworld_server_fps{instance="palworld-2"} 59 1783908420
palworld_server_fps{instance="palworld-2"} 59 1783908480
palworld_server_fps{instance="palworld-2"} 59 1783908540
palworld_server_fps{instance="palworld-2"} 59 1783908600
palworld_server_fps{instance="palworld-2"} 59 1783908660
palworld_server_fps{instance="palworld-2"} 59 1783908720
palworld_server_fps{instance="palworld-2"} 59 1783908780
palworld_server_fps{instance="palworld-2"} 59 1783908840
palworld_server_fps{instance="palworld-2"} 59 1783908900
palworld_server_fps{instance="palworld-2"} 59 1783908960
palworld_server_fps{instance="palworld-2"} 59 1783909020
palworld_server_fps{instance="palworld-2"} 59 1783909080
palworld_server_fps{instance="palworld-2"} 59 1783909140
palworld_server_fps{instance="palworld-2"} 59 1783909200
palworld_server_fps{instance="palworld-2"} 59 1783909260
palworld_server_fps{instance="palworld-2"} 59 1783909320
palworld_server_fps{instance="palworld-2"} 59 1783909380
palworld_server_fps{instance="palworld-2"} 59 1783909440
palworld_server_fps{instance="palworld-2"} 59 1783909500
palworld_server_fps{instance="palworld-2"} 59 1783909560
palworld_server_fps{instance="palworld-2"} 59 1783909620
palworld_server_fps{instance="palworld-2"} 59 1783909680
palworld_server_fps{instance="palworld-2"} 59 1783909740
palworld_server_fps{instance="palworld-2"} 59 1783909800
palworld_server_fps{instance="palworld-2"} 59 1783909860
palworld_server_fps{instance="palworld-2"} 59 1783909920
palworld_server_fps{instance="palworld-2"} 59 1783909980
palworld_server_fps{instance="palworld-2"} 59 1783910040
palworld_server_fps{instance="palworld-2"} 59 1783910100
palworld_server_fps{instance="palworld-2"} 59 1783910160
palworld_server_fps{instance="palworld-2"} 59 1783910220
palworld_server_fps{instance="palworld-2"} 59 1783910280
palworld_server_fps{instance="palworld-2"} 59 1783910340
palworld_server_fps{instance="palworld-2"} 59 1783910400
palworld_server_fps{instance="palworld-2"} 59 1783910460
palworld_server_fps{instance="palworld-2"} 59 1783910520
palworld_server_fps{instance="palworld-2"} 59 1783910580
palworld_server_fps{instance="palworld-2"} 59 1783910640
palworld_server_fps{instance="palworld-2"} 59 1783910700
palworld_server_fps{instance="palworld-2"} 59 1783910760
palworld_server_fps{instance="palworld-2"} 59 1783910820
palworld_server_fps{instance="palworld-2"} 59 1783910880
palworld_server_fps{instance="palworld-2"} 59 1783910940
palworld_server_fps{instance="palworld-2"} 59 1783911000
palworld_server_fps{instance="palworld-2"} 59 1783911060
palworld_server_fps{instance="palworld-2"} 59 1783911120
palworld_server_fps{instance="palworld-2"} 59 1783911180
palworld_server_fps{instance="palworld-2"} 59 1783911240
palworld_server_fps{instance="palworld-2"} 59 1783911300
palworld_server_fps{instance="palworld-2"} 59 1783911360
palworld_server_fps{instance="palworld-2"} 59 1783911420
palworld_server_fps{instance="palworld-2"} 59 1783911480
palworld_server_fps{instance="palworld-2"} 59 1783911540
palworld_server_fps{instance="palworld-2"} 59 1783911600
palworld_server_fps{instance="palworld-2"} 59 1783911660
palworld_server_fps{instance="palworld-2"} 59 1783911720
palworld_server_fps{instance="palworld-2"} 59 1783911780
palworld_server_fps{instance="palworld-2"} 59 1783911840
palworld_server_fps{instance="palworld-2"} 59 1783911900
palworld_server_fps{instance="palworld-2"} 59 1783911960
palworld_server_fps{instance="palworld-2"} 59 1783912020
palworld_server_fps{instance="palworld-2"} 59 1783912080
palworld_server_fps{instance="palworld-2"} 59 1783912140
palworld_server_fps{instance="palworld-2"} 59 1783912200
palworld_server_fps{instance="palworld-2"} 59 1783912260
palworld_server_fps{instance="palworld-2"} 59 1783912320
palworld_server_fps{instance="palworld-2"} 59 1783912380
palworld_server_fps{instance="palworld-2"} 59 1783912440
palworld_server_fps{instance="palworld-2"} 59 1783912500
palworld_server_fps{instance="palworld-2"} 59 1783912560
palworld_server_fps{instance="palworld-2"} 59 1783912620
palworld_server_fps{instance="palworld-2"} 59 1783912680
palworld_server_fps{instance="palworld-2"} 59 1783912740
palworld_server_fps{instance="palworld-2"} 59 1783912800
palworld_server_fps{instance="palworld-2"} 59 1783912860
palworld_server_fps{instance="palworld-2"} 59 1783912920
palworld_server_fps{instance="palworld-2"} 59 1783912980
palworld_server_fps{instance="palworld-2"} 59 1783913040
palworld_server_fps{instance="palworld-2"} 59 1783913100
palworld_server_fps{instance="palworld-2"} 59 1783913160
palworld_server_fps{instance="palworld-2"} 59 1783913220
palworld_server_fps{instance="palworld-2"} 59 1783913280
palworld_server_fps{instance="palworld-2"} 59 1783913340
palworld_server_fps{instance="palworld-2"} 59 1783913400
palworld_server_fps{instance="palworld-2"} 59 1783913460
palworld_server_fps{instance="palworld-2"} 59 1783913520
palworld_server_fps{instance="palworld-2"} 59 1783913580
